1a30,4.30
1a94,7.85
1a9m,6.92
1aaq,8.40
1aid,4.82
1ajv,7.72
1ajx,7.91
1b6j,7.92
1b6k,8.74
1b6l,8.30
1b6m,8.40
1bai,7.70
1bdq,6.34
1bv7,9.30
1bv9,8.96
1bwa,7.60
1bwb,8.42
1c70,10.30
1d4h,10.00
1d4i,8.85
1d4j,8.36
1d4k,9.22
1d4l,8.77
1d4y,11.10
1dif,10.66
1dmp,9.55
1ebw,9.05
1eby,9.70
1ebz,9.40
1ec0,8.49
1ec1,8.92
1ec2,10.00
1ec3,9.04
1fiv,6.59
1g2k,7.96
1g35,8.14
1gnm,6.25
1gnn,5.68
1gno,7.70
1hbv,6.37
1hih,8.05
1hii,7.28
1hos,8.55
1hpo,9.22
1hps,9.22
1hpv,9.22
1hpx,11.26
1hsh,9.42
1hvh,7.96
1hvi,10.92
1hvj,11.40
1hvk,10.96
1hvl,9.95
1hvr,9.51
1hvs,10.30
1hwr,8.33
1hxb,9.92
1hxw,10.82
1iiq,7.48
1izh,7.70
1izi,6.59
1kzk,10.39
1lzq,8.39
1m0b,8.82
1mes,7.70
1met,9.40
1mrw,9.70
1mrx,7.26
1msm,10.48
1msn,9.09
1mtr,8.40
1nh0,9.74
1ody,8.10
1ohr,8.70
1pro,11.30
1qbr,10.57
1qbs,9.47
1qbt,10.62
1qbu,10.24
1sbg,7.74
1sdt,9.27
1sdu,10.07
1sdv,8.74
1sgu,5.37
1sh9,6.03
1siv,8.08
1t7j,8.70
1tcw,6.02
1tcx,6.95
1w5v,8.15
1w5w,8.80
1w5x,8.40
1w5y,8.48
1z1h,8.40
1z1r,9.22
1zp8,8.77
1zpa,8.40
1zsf,9.92
1zsr,9.82
2aoc,4.89
2aod,5.66
2aoe,7.62
2aog,6.28
2aqu,9.32
2avm,5.70
2avo,8.85
2avq,4.39
2avs,7.57
2avv,9.26
2bpv,7.67
2bpy,7.40
2bqv,8.05
2f80,8.18
2f81,10.52
2f8g,8.70
2fgu,9.18
2fgv,6.12
2hb3,11.35
2hs1,8.48
2hs2,8.31
2i0a,11.40
2i4d,11.68
2i4u,11.57
2i4v,11.20
2i4w,11.59
2i4x,11.72
2idw,8.89
2ien,9.00
2ieo,8.49
2nmw,8.41
2nmy,8.37
2nmz,8.37
2nnk,8.37
2nnp,8.37
2o4k,10.46
2p3a,7.96
2pk5,10.70
2pk6,10.89
2pqz,5.67
2psu,7.62
2psv,7.24
2pym,6.82
2pyn,7.57
2q54,9.01
2q55,8.69
2q5k,11.30
2q63,7.18
2q64,8.52
2qci,8.34
2qd6,8.68
2qd7,9.10
2qd8,9.07
2qhy,7.48
2qhz,7.28
2qi0,7.38
2qi1,7.30
2qi3,10.20
2qi4,10.44
2qi5,10.85
2qi6,10.57
2qi7,10.21
2qnq,6.11
2r38,7.44
2r3t,5.85
2r3w,6.89
2r43,6.00
2r5p,8.48
2rkf,9.08
2rkg,8.09
2uxz,8.48
2uy0,6.92
2wkz,8.77
2wl0,7.80
2z4o,9.57
3aid,6.86
3bc4,5.35
3bgb,6.05
3bgc,5.02
3bva,6.52
3bvb,5.49
3cyw,7.77
3cyx,8.00
3d1x,8.66
3d1y,8.22
3d1z,8.80
3d20,8.30
3djk,10.59
3dk1,9.74
3ggt,8.43
3ggu,9.77
3h5b,10.00
3i6o,10.35
3i7e,10.85
4fiv,6.52
7upj,8.49
